		L v S log2 FC				
PA5000	658.5762436	-0.853109541	0.59296002	-1.43873029	0.150226954	0.994061663
PA0264	2649.984301	-0.853103513	0.654996147	-1.302455774	0.192760627	0.994061663
PA0581	2060.227827	-0.851801891	0.649392523	-1.311690327	0.189624642	0.994061663
PA1679	725.0352058	-0.850720354	0.600455042	-1.416792756	0.156543528	0.994061663
EBG00001435462	1580.003919	-0.85018298	0.640834687	-1.326680652	0.184614344	0.994061663
PA5535	22.62811848	-0.84839959	0.634236394	-1.337670935	0.18100373	0.994061663
PA3441	294.388258	-0.848133791	0.545961619	-1.553467792	0.120311418	0.994061663
PA4313	1380.760663	-0.847770314	0.635435833	-1.334155662	0.182152847	0.994061663
PA3143	32.07134903	-0.845663919	0.608128167	-1.390601463	0.164346312	0.994061663
PA1076	92.0269543	-0.843654838	0.53947202	-1.563852817	0.117852137	0.994061663
PA1805	41.51457958	-0.843211992	0.587336258	-1.435654585	0.151100654	0.994061663
PA4494	59.37653924	-0.842971261	0.56053389	-1.503872068	0.13261431	0.994061663
PA1758	84.63272661	-0.842136488	0.54189993	-1.554044283	0.120173854	0.994061663
EBG00001435438	5639.79127	-0.840901234	0.659231083	-1.275578861	0.202104431	0.994061663
EBG00001435444	502.5847654	-0.840854275	0.570178991	-1.474719849	0.140287877	0.994061663
PA2802	222.0495485	-0.84017728	0.538907141	-1.559039056	0.118987137	0.994061663
PA0407	2330.829834	-0.839634371	0.652083744	-1.287617394	0.197879181	0.994061663
PA0245	23.65261991	-0.839414757	0.630789809	-1.33073608	0.183275867	0.994061663
PA2641	23.65261991	-0.839414757	0.630789809	-1.33073608	0.183275867	0.994061663
PA2695	23.65261991	-0.839414757	0.630789809	-1.33073608	0.183275867	0.994061663
PA3997	28.37423518	-0.839226204	0.617307964	-1.359493563	0.173990241	0.994061663
PA5314	1880.22738	-0.838522689	0.646257548	-1.297505447	0.194457332	0.994061663
PA3090	998.4879998	-0.838264664	0.620009701	-1.352018626	0.176369357	0.994061663
PA3341	37.81746573	-0.838039535	0.594497644	-1.409659976	0.158640108	0.994061663
PA4886	848.0199206	-0.837093336	0.610728954	-1.370646226	0.170485265	0.994061663
PA4744	135.7687109	-0.836645439	0.534500555	-1.565284509	0.117516214	0.994061663
PA1173	106.1918001	-0.835911606	0.535787795	-1.560154252	0.118723434	0.994061663
EBG00001435457	69.84427122	-0.835785396	0.550010621	-1.519580467	0.12861645	0.994061663
PA1159	172.7398494	-0.834908184	0.535573618	-1.558904612	0.119018959	0.994061663
PA2038	118.3076431	-0.834033192	0.534509995	-1.560369684	0.118672545	0.994061663
PA0751	585.4357504	-0.833934081	0.581532801	-1.434027589	0.15156439	0.994061663
PA1194	1063.076133	-0.833525649	0.622785923	-1.338382288	0.18077185	0.994061663
