TimePoint,meanMSD,medianMSD,medianMSD_sem,meanRMSD,medianRMSD,medianRMSD_sem,meanSpeed,medianSpeed,medianSpeed_sem,TeckRep,Strain,IC_meanMSD,IC_medianMSD,IC_meanRMSD,IC_medianRMSD,IC_meanSpeed,IC_medianSpeed
1.0,,,,,,,,,,2.0,pilG-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,2.0,pilG-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,2.0,pilG-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.24871652587320825,0.21652238920217798,0.0002041793138768599,3.956317235058681,3.642481135644954,0.003796204312285172,0.48124367803370877,0.508,0.00018691099411142123,1.0,pilH-fliC-,[0.22601864 0.27848512],[0.20373301 0.23055363],[3.71167984 4.20594465],[3.415358   3.87641551],[0.46340142 0.49807088],[0.496 0.521]
1.0,0.47248465397804323,0.45574209759921136,0.0004260473171444539,4.066994900180973,3.497323013843293,0.003933163210327068,0.7073848726404915,0.765,0.00029906494251222396,1.0,pilH-fliC-,[0.4400413  0.51117962],[0.43068793 0.47993872],[3.80122134 4.35664211],[3.19419795 3.65329005],[0.68388161 0.72978411],[0.742 0.781]
2.0,0.33255584102617936,0.3160950927705145,0.00020846961506994287,3.5803480483713312,3.0801899840802296,0.003894469139617392,0.6191921595988997,0.654,0.0001665870680792818,1.0,pilH-fliC-,[0.31534495 0.35175769],[0.3010985  0.32751012],[3.39545396 3.78158184],[2.80177153 3.26440506],[0.60033391 0.63551728],[0.644 0.665]
3.0,0.40870916850245564,0.37637590635284135,0.0001760664588714625,4.59588447730417,4.051598450602825,0.002364534046653393,0.6839646922396825,0.6920000000000001,0.00014456423682421762,1.0,pilH-fliC-,[0.394994   0.42340709],[0.36477415 0.38692438],[4.43569205 4.75340745],[3.91419119 4.22455845],[0.67425311 0.69374959],[0.6845 0.702 ]
0.0,0.37533204497738437,0.37141302152380296,0.0003499307899338188,11.161723088104681,9.561270950636692,0.01350101491391969,0.6950541723237598,0.7240000000000001,0.00026722131507653175,3.0,pilH-fliC-,[0.35847829 0.39200486],[0.35258954 0.39480232],[10.4206004  11.95128575],[ 8.7494505  10.45478344],[0.67725215 0.71373701],[0.705 0.74 ]
1.0,,,,,,,,,,3.0,pilH-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,3.0,pilH-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,3.0,pilH-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.3340835692137225,0.31637298903210764,0.0002826479777970093,7.464088919653876,7.140347304388994,0.01013067012740423,0.6828408970588234,0.684,0.00023103587887453225,2.0,pilH-fliC-,[0.31688217 0.35244693],[0.29634682 0.3379393 ],[6.95480158 7.99882165],[6.33442314 7.63600751],[0.66807598 0.69922108],[0.6645   0.693025]
1.0,,,,,,,,,,2.0,pilH-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,2.0,pilH-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,2.0,pilH-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.03001838877332313,0.007676936445973523,9.135741665788605e-05,0.44538566663442897,0.25317065195487654,0.0015048301653435012,0.08703719326928683,0.0495,0.0006488428290169868,1.0,pilTU-fliC-,[0.01727965 0.04591441],[0.0010953  0.01191362],[0.34083147 0.56605142],[0.12675281 0.3331742 ],[0.06996196 0.1054553 ],[0.0099875 0.086    ]
1.0,0.012615662590438472,0.009892563050314536,6.044983247691228e-05,0.7458135789301623,0.4692508626449458,0.002381419805941715,0.07938774140463432,0.078,0.0003725195858499816,1.0,pilTU-fliC-,[0.01023855 0.01518401],[0.00655671 0.01271415],[0.60048146 0.91491505],[0.37761776 0.62335888],[0.06718794 0.09155343],[0.053 0.099]
2.0,0.015339736256076719,0.0072893837256380375,3.37486202019184e-05,0.6122692988540175,0.3470183228849977,0.0007614600205511035,0.07667373050982372,0.057,0.00017632148271060243,1.0,pilTU-fliC-,[0.01283576 0.01830665],[0.00528769 0.00951183],[0.5031623  0.73589625],[0.30780615 0.4089388 ],[0.0674199  0.08567818],[0.045 0.069]
3.0,0.011765420306950056,0.0019482776858211807,2.4540705698434953e-05,0.39624847967679167,0.20619962566819156,0.0013851644413943429,0.05619699116879994,0.021,0.0002289830216942388,1.0,pilTU-fliC-,[0.00807835 0.01647607],[0.00081295 0.0042908 ],[0.31225285 0.4792969 ],[0.13624409 0.30367661],[0.04518372 0.06928182],[0.009 0.035]
0.0,0.0029600474232464318,0.001199832421684513,2.210832347239154e-06,0.6574353175655906,0.3240911670679456,0.0006242289443485422,0.036188258622159096,0.027000000000000003,2.4971329906861468e-05,3.0,pilTU-fliC-,[0.00221481 0.00389718],[0.00105883 0.00134119],[0.57070852 0.74853269],[0.27218521 0.35391485],[0.0329485 0.0399985],[0.026 0.029]
1.0,,,,,,,,,,3.0,pilTU-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,3.0,pilTU-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,3.0,pilTU-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.0037793891335177387,0.001549017113921539,4.2096176757088575e-06,0.565659513154016,0.37898467427237187,0.000664291464012558,0.0490259111969112,0.039,5.558807456670927e-05,2.0,pilTU-fliC-,[0.00301012 0.00460453],[0.00133253 0.00179608],[0.50246837 0.63445023],[0.34433997 0.42454526],[0.04496014 0.05293292],[0.036 0.043]
1.0,,,,,,,,,,2.0,pilTU-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,2.0,pilTU-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,2.0,pilTU-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
