 ,Label,Angle,Median,Slice,Length
121,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,9.200400,0.049786,27,0.003812
122,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,11.542526,0.085857,27,0.003841
123,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,10.750967,0.090283,27,0.004262
124,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,12.724356,0.050082,27,0.004211
125,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,11.908300,0.028316,27,0.003981
126,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,12.528808,0.101309,27,0.003909
127,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.000000,0.074039,29,0.004028
128,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.367276,-0.067137,29,0.004134
129,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-0.707319,-0.074469,29,0.004293
130,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.000000,0.086300,29,0.003948
131,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.000000,0.005894,29,0.004028
132,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.000000,-0.023031,29,0.004213
133,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,2.505093,-0.059271,30,0.004244
134,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,1.517414,0.030079,30,0.004003
135,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,2.188583,0.059713,30,0.004164
136,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,2.689770,-0.003512,30,0.003953
137,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,1.847610,-0.007006,30,0.004110
138,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,1.767827,0.060901,30,0.004295
