index, ,Label,Angle,Median,Class_nb,Pitch,Strain
91,92,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.1233030000000002,0.002512,21,40.55,t8v
92,93,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-0.7206640000000001,0.031255,21,42.14,t8v
93,94,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,0.0,0.013588,21,40.010000000000005,t8v
94,95,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-0.7206640000000001,-0.010693000000000001,21,42.14,t8v
95,96,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.094691,-0.005667,21,41.61,t8v
96,97,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-1.8595990000000002,-0.054948000000000004,22,40.83,t8v
97,98,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.5763339999999997,-0.051383000000000005,22,42.48,t8v
98,99,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.388557,-0.0032890000000000003,22,40.35,t8v
99,100,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.260161,0.034068,22,41.94,t8v
100,101,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.6444900000000002,0.124713,22,41.69,t8v
101,102,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-2.6541959999999998,-0.020812999999999998,22,40.06,t8v
102,103,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,0.744059,-0.075956,23,40.81,t8v
103,104,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,0.36727600000000005,-0.046169,23,41.34,t8v
104,105,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,1.459449,-0.129306,23,41.62,t8v
105,106,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-0.753848,-0.088139,23,40.28,t8v
106,107,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-178.11595,-0.11506199999999998,23,40.3,t8v
107,108,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,1.487868,-0.087806,23,40.82,t8v
108,109,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,2.569241,-0.09325499999999999,25,41.38,t8v
109,110,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,0.729843,0.038766,25,41.61,t8v
110,111,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.34465,0.11632100000000001,25,40.88,t8v
111,112,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.478273,0.088118,25,41.09,t8v
112,113,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.087764,0.005945000000000001,25,41.879999999999995,t8v
113,114,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.8595990000000002,-0.091752,25,40.83,t8v
114,115,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.753848,-0.08325199999999999,26,40.28,t8v
115,116,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.0,-0.049710000000000004,26,40.010000000000005,t8v
116,117,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.871745,0.093662,26,40.57,t8v
117,118,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-0.362627,0.07850499999999999,26,41.87,t8v
118,119,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.36493600000000004,0.00075,26,41.61,t8v
119,120,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.734521,-0.046646,26,41.34,t8v
120,121,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,9.2004,0.049786000000000004,27,38.12,t8v
121,122,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,11.542525999999999,0.085857,27,38.41,t8v
122,123,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,10.750967,0.090283,27,42.620000000000005,t8v
123,124,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,12.724356,0.050082,27,42.11000000000001,t8v
124,125,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,11.9083,0.028316,27,39.81,t8v
125,126,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,12.528808,0.101309,27,39.09,t8v
126,127,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.0,0.074039,29,40.28,t8v
127,128,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.36727600000000005,-0.067137,29,41.34,t8v
128,129,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-0.7073189999999999,-0.07446900000000001,29,42.93,t8v
129,130,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.0,0.0863,29,39.480000000000004,t8v
130,131,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.0,0.005894,29,40.28,t8v
131,132,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,0.0,-0.023031,29,42.13,t8v
132,133,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,2.505093,-0.059271000000000004,30,42.44,t8v
